vehicle_id,owner_user_id,make,model,color,plate,seats_total,year,fun_fact
1,2,Tesla,"Model Y",Blue,NJ-7909,7,2025,n/a
2,5,Tesla,"Model 3",Gray,NJ-6737,5,2024,n/a
3,6,Toyota,Camry,Silver,NJ-8767,4,2015,n/a
4,8,Chevrolet,Malibu,Red,NJ-8301,5,2021,n/a
5,9,Toyota,Camry,Blue,NJ-6823,4,2024,n/a
6,14,Honda,Civic,White,NJ-7519,5,2022,n/a
7,76,Toyota,Camry,Gray,NJ-1007,5,2014,"garage kept"
8,30,Toyota,Camry,Black,NJ-1008,5,2020,"student vehicle"
9,61,Hyundai,Elantra,White,NJ-1009,5,2018,"garage kept"
10,43,Honda,Civic,Gold,NJ-1010,4,2011,rideshare-ready
11,37,Honda,Civic,Blue,NJ-1011,4,2017,"student vehicle"
12,104,Toyota,Camry,Silver,NJ-1012,4,2014,"garage kept"
13,84,Honda,Civic,Red,NJ-1013,5,2018,rideshare-ready
14,28,Honda,Civic,Silver,NJ-1014,5,2013,n/a
15,48,Ford,Focus,Green,NJ-1015,4,2012,"student vehicle"
16,20,Chevrolet,Malibu,Gray,NJ-1016,6,2011,rideshare-ready
17,70,Ford,Focus,White,NJ-1017,4,2020,n/a
18,56,Nissan,Altima,Gray,NJ-1018,5,2021,"garage kept"
19,87,Tesla,"Model 3",Green,NJ-1019,4,2018,"garage kept"
20,61,Ford,Focus,Black,NJ-1020,5,2017,n/a
21,45,Nissan,Altima,Red,NJ-1021,5,2022,rideshare-ready
22,7,Nissan,Altima,White,NJ-1022,4,2025,"student vehicle"
23,52,Chevrolet,Malibu,White,NJ-1023,5,2018,n/a
24,68,Tesla,"Model Y",Gray,NJ-1024,4,2023,"garage kept"
25,75,Tesla,"Model Y",Gold,NJ-1025,5,2024,n/a
26,19,Chevrolet,Malibu,Red,NJ-1026,5,2017,rideshare-ready
27,84,Hyundai,Elantra,Gold,NJ-1027,6,2021,"garage kept"
28,91,Hyundai,Elantra,White,NJ-1028,5,2018,rideshare-ready
29,43,Tesla,"Model Y",Gray,NJ-1029,4,2020,n/a
30,91,Tesla,"Model 3",Red,NJ-1030,4,2025,rideshare-ready
31,89,Chevrolet,Malibu,Gray,NJ-1031,4,2019,"student vehicle"
32,53,Tesla,"Model 3",Black,NJ-1032,4,2014,rideshare-ready
33,10,Toyota,Camry,Maroon,NJ-1033,5,2014,"garage kept"
34,20,Toyota,Camry,Black,NJ-1034,5,2025,"garage kept"
35,50,Tesla,"Model 3",Blue,NJ-1035,5,2025,n/a
36,103,Honda,Civic,Green,NJ-1036,5,2012,n/a
37,27,Tesla,"Model 3",Black,NJ-1037,4,2017,n/a
38,75,Ford,Focus,Red,NJ-1038,6,2022,"garage kept"
39,59,Chevrolet,Malibu,Green,NJ-1039,5,2011,n/a
40,93,Tesla,"Model Y",Red,NJ-1040,5,2012,"student vehicle"
